日期,發佈單位,標題,url
2023-08-07,OIA,【Forwarded】WTUNExchangeProgramme2021/22:SpeakerSeries-Tuesday15August1000-1100GMT+1,https://bulletin.ntust.edu.tw/p/406-1045-115787\,r1391.php?Lang=zh-tw
2023-08-07,OIA,【轉知】WorkshopforYoungSinologist青年漢學家研習班，registeruntilAugust8th,https://www.ncl.edu.tw/information_237_14930.html
2023-08-07,人事室,【社團活動訊息】韻律社免費試跳之全新激瘦有氧課程招生中(週一)！,https://bulletin.ntust.edu.tw/p/406-1045-115770\,r1391.php?Lang=zh-tw
2023-08-07,無線通訊與電磁相容技術研發中心,【歡迎報名】112年度電磁應用與實務暨天線量測技術研討會,https://bulletin.ntust.edu.tw/p/406-1045-115766\,r1391.php?Lang=zh-tw
2023-08-07,圖書館,【公告】2023/08/11-13圖書館進行年度清潔打蠟，視進度調整開放空間ThelibrarywillbeclosedonAugust11-13duetocleaningandwaxingday,https://bulletin.ntust.edu.tw/p/406-1045-115752\,r1391.php?Lang=zh-tw
2023-08-04,圖書館,【公告】圖書館8/5(六)閉館一日，另8/4下午至8/7上午8:10期間電腦系統暫停服務,https://bulletin.ntust.edu.tw/p/406-1045-115739\,r1391.php?Lang=zh-tw
2023-08-04,產學處創新育成中心,【線上講座】新創財務報表與財務預測規劃!,https://bulletin.ntust.edu.tw/p/406-1045-115753\,r1391.php?Lang=zh-tw
2023-08-02,總務處營繕組,電梯停機公告,https://bulletin.ntust.edu.tw/p/406-1045-115751\,r1391.php?Lang=zh-tw
2023-08-02,電子計算機中心,轉知教育部將於112年09月08日(五)舉辦「校務行政e化交流服務計畫(112年)」第6場研討會,https://bulletin.ntust.edu.tw/p/406-1045-115750\,r1391.php?Lang=zh-tw
2023-08-02,電子計算機中心,轉知中華民國資訊軟體協會於112年8月31日舉辦「零信任端點防護，打造資安堡壘」研討會,https://bulletin.ntust.edu.tw/p/406-1045-115749\,r1391.php?Lang=zh-tw
2023-08-02,電子計算機中心,轉知逢甲大學112年8月28日辦理「112年度教育體系資安專業訓練課程-系統及網站滲透測試」,https://bulletin.ntust.edu.tw/p/406-1045-115747\,r1391.php?Lang=zh-tw
2023-08-02,產學處創新育成中心,免費課程-專利檢索平台運用,https://bulletin.ntust.edu.tw/p/406-1045-115746\,r1391.php?Lang=zh-tw
2023-08-02,總務處事務組,中度颱風卡努動態警報通知,https://bulletin.ntust.edu.tw/p/406-1045-115740\,r1391.php?Lang=zh-tw
2023-08-02,研究發展處計畫業務服務中心,【校內補助】國立臺灣科技大學鼓勵教師從事專題研究計畫,https://bulletin.ntust.edu.tw/p/406-1045-115727\,r1391.php?Lang=zh-tw
2023-08-02,教務處教學發展中心,【zuvio調查】調查112-1學期參與zuvio工作坊之意願,https://bulletin.ntust.edu.tw/p/406-1045-115717\,r1391.php?Lang=zh-tw
2023-08-01,體育室,因應年度總變電站保養檢測，本校所有運動設施全日不開放。Thesportsfacilitieswillbeclosed,https://bulletin.ntust.edu.tw/p/406-1045-115700\,r1391.php?Lang=zh-tw
2023-08-01,研究發展處計畫業務服務中心,【研發替代役】113年度研發替代役員額申請，即日起至112年8月9日(三)中午12:00前截止，逾期不受理，請查照。,https://bulletin.ntust.edu.tw/p/406-1045-115693\,r1391.php?Lang=zh-tw
2023-08-01,研究發展處計畫業務服務中心,【訊息轉知】國立政治大學研發處研究倫理行政辦公室謹訂於112年9月22日(五)舉辦「112年第三場研究倫理教育訓練」，歡迎有興趣者報名參加，請查照。,https://bulletin.ntust.edu.tw/p/406-1045-115691\,r1391.php?Lang=zh-tw
2023-08-01,通識教育中心,通識教育中心黃淑怡老師誠徵112學年教育部教學實踐研究計畫研究獎助生助理乙名,https://bulletin.ntust.edu.tw/p/406-1045-115690\,r1391.php?Lang=zh-tw
2023-08-01,電子計算機中心,【電子計算機中心公告】電腦教室暫停開放通知（Notification:ComputerClassroomclosedonAugust52023.）,https://bulletin.ntust.edu.tw/p/406-1045-115679\,r1391.php?Lang=zh-tw
2023-08-01,人事室,112年8月人事服務簡訊已出刊，歡迎下載參閱。PersonnelOfficeNewsletter/August2023Issuereleased:Enjoyreadingstayinformed!”,https://www.personnel.ntust.edu.tw/p/412-1066-8.php?Lang=zh-tw
2023-07-31,研究發展處計畫業務服務中心,【NSTC計畫徵求】科普產品製播推廣產學合作計畫補助案,https://bulletin.ntust.edu.tw/p/406-1045-115658\,r1391.php?Lang=zh-tw
2023-07-31,學務處活動組,【學生活動組】苗栗縣公館鄉公所辦理2023舞蹈隘寮夏-全國青春舞蹈大賽，詳附件。,https://bulletin.ntust.edu.tw/p/406-1045-115649\,r1391.php?Lang=zh-tw
2023-07-31,總務處營繕組,[轉知]工程會修正「災後復建工程設計、監造技術服務開口契約範本(112年7月25日版)」，請查照。,https://bulletin.ntust.edu.tw/p/406-1045-115633\,r1391.php?Lang=zh-tw
2023-07-28,學務處,【學務處生輔組】112-1新增【自辦】5項獎學金，詳見獎學金網頁。,https://sa.ntust.edu.tw/Scholarship
2023-07-28,電子計算機中心,【電子計算機中心公告】112/7/27誠徵電腦教室「服務成長學習ServiceDesk人員」。,https://bulletin.ntust.edu.tw/p/406-1045-115597\,r1391.php?Lang=zh-tw
2023-07-28,研究發展處計畫業務服務中心,【NSTC計畫徵求】國科會徵件一覽表,https://bulletin.ntust.edu.tw/p/406-1045-111363\,r1391.php?Lang=zh-tw
